Tweet,Sentiment_Score,Date
"$STRH consolidated all of last week and snuck in a new 52 week high on Friday. The stock has increased 300% so far this year.

$AAPL $ABBV $ADBE $AMZN $BYND $CRON $DIS $DISH $ELY $FDX $GME $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $MA $NVDA $NFLX $QQQ $RH $SPY $TLT $T $TSLA $UWT https://t.co/Z0UWqN0yPk https://t.co/cLdz438zRX",0.2732,2025-03-02
"$STRH consolidated all of last week and snuck in a new 52 week high on Friday. The stock has increased 300% so far this year.

$AAPL $ABBV $ADBE $AMZN $BYND $CRON $DIS $DISH $ELY $FDX $GME $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $MA $NVDA $NFLX $QQQ $RH $SPY $TLT $T $TSLA $UWT https://t.co/JsvmW2azw9 https://t.co/cLdz438zRX",0.2732,2025-03-02
"Thanks for the $1k
DISCORD 
https://t.co/wXDxcr71Y2
Best stock trade Group out there!

$AMZN $AMD $SPY $QQQ $ATH $CCL $AMD $AAPL $MSFY $BA $BABA $GNUS https://t.co/oFyr1s2Npi",0.6071,2025-03-02
"$STRH consolidated all of last week and snuck in a new 52 week high on Friday. The stock has increased 300% so far this year.

$AAPL $ABBV $ADBE $AMZN $BYND $CRON $DIS $DISH $ELY $FDX $GME $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $MA $NVDA $NFLX $QQQ $RH $SPY $TLT $T $TSLA $UWT https://t.co/twPLGsf0Fo https://t.co/aLeymo9pgA",0.2732,2025-03-02
"$STRH consolidated all of last week and snuck in a new 52 week high on Friday. The stock has increased 300% so far this year.

$AAPL $ABBV $ADBE $AMZN $BYND $CRON $DIS $DISH $ELY $FDX $GME $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $MA $NVDA $NFLX $QQQ $RH $SPY $TLT $T $TSLA $UWT https://t.co/xWfStSJv7C https://t.co/uZFEYypAyS",0.2732,2025-03-02
"When ChatGPT Meets Stock Picking, Smarter Investing Starts Here:   https://t.co/cQ5Pga6x8c

$NIO  $BBAI $AAPL $AMD $AVGO $GOOG  $ABEV $TLRY $RIVN $QSI $GSAT  $AMZN

$CLSK $IONQ $PLUG $QUBT $PFE $XOM $VALE $GRAB $NU $JBLU $M $IBRX $MSTR",0.4588,2025-03-02
"$STRH consolidated all of last week and snuck in a new 52 week high on Friday. The stock has increased 300% so far this year.

$AAPL $ABBV $ADBE $AMZN $BYND $CRON $DIS $DISH $ELY $FDX $GME $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $MA $NVDA $NFLX $QQQ $RH $SPY $TLT $T $TSLA $UWT https://t.co/iCPHwFDzmh https://t.co/zKTywIXIAE",0.2732,2025-03-02
"When ChatGPT Meets Stock Picking, Smarter Investing Starts Here:   https://t.co/cQ5Pga6x8c

$MU $RDDT $AEHR $AVGO $MU $WKEY $QBTS $ENVX $AMD $AEHR $GRRR $PLTR

$MRVL $AAPL $HRTX $MSTR $PSQH $MSFT $PSTG $INTC $SOUN $META $UNH $ANET",0.4588,2025-03-02
"$STRH consolidated all of last week and snuck in a new 52 week high on Friday. The stock has increased 300% so far this year.

$AAPL $ABBV $ADBE $AMZN $BYND $CRON $DIS $DISH $ELY $FDX $GME $GOOG $HD $INTC $IWM $JPM $LK $LOW $LULU $MA $NVDA $NFLX $QQQ $RH $SPY $TLT $T $TSLA $UWT https://t.co/RPA83GS9kG https://t.co/5mjEO2BUTh",0.2732,2025-03-02
"When ChatGPT Meets Stock Picking, Smarter Investing Starts Here:   https://t.co/cQ5Pga6x8c

$AAPL $AMZN $META $GOOG $GOOGL $HUT $AMAT $CRWD $VIX $ETH $BTC $GNPX $HGBL

$GOOGL $SMCI $SPY $QQQ $DIA $AI $VIX $VXX $SQQQ $INTC $SPY $ETH $MSTR $MARA $RIOT",0.4588,2025-03-02
